MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 DRIVE S-DESIGN FLEX Aut. 5-P (358AFH0);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX Aut. 5-P (358AGJ1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX Aut. 5-P (358AGX1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX Aut. 4-P (359AFJ1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX Aut. 4-P (359AFX1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE S-DESIGN FLEX 4-P;5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE S-DESIGN FLEX Aut. 4-P;5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 PRECISION FLEX Aut. 4-P (359AHJ1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 PRECISION FLEX Aut. 4-P (359AHX1);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.3 DRIVE FLEX 5-P (363A150);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.3 DRIVE FLEX 5-P (363A1L0);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.3 DRIVE FLEX Aut. 5-P (363A1M0);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CAB. PLUS FLEX 2-P (281A310);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CAB. PLUS FLEX 2-P (281A3C0);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CAB. PLUS FLEX 2-P (281A9J0);5000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CAB. PLUS FLEX 2-P (281AC30);5000;Minas Gerais;Brasil;1.3
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;GOL / LAST EDITION;5000;Paraná;Brasil;1.8
HYUNDAI MOTOR BRASIL;HB20 LIMITED 1.0 5MT AV+ESC+SAB+BLK MY23/24;5000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20S COMFORT 1.0 5MT AV+ESC+SAB MY23/24;5000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20S LIMITED 1.0 5MT AV+ESC+SAB+BLK;5000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20S LIMITED 1.0 5MT AV+ESC+SAB+BLK MY23/24;5000;São Paulo;Brasil;1.0
RENAULT DO BRASIL S.A;LOGAN 1.0 Life;5000;Paraná;Brasil;1.0
RENAULT DO BRASIL S.A;LOGAN 1.0 Zen;5000;Paraná;Brasil;1.0
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO POLO / TSI;5000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO VIRTUS / MANUAL;5000;Paraná;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT2 1.0 MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT2 1.0 MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LTZ 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LTZ 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LT 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LTZ 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LTZ 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LTZ 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LTZ 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS LTZ 1.0T MT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS MIDNIGHT 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS MIDNIGHT 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR1 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
